id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1080784,2,2016-02-29 16:40:21,2016-02-29 16:47:01,1,-73.95391845703125,40.77887344360352,-73.96387481689453,40.77116394042969,N,400
id0889885,1,2016-03-11 23:35:37,2016-03-11 23:53:57,2,-73.98831176757811,40.73174285888672,-73.9947509765625,40.69493103027344,N,1100
id0857912,2,2016-02-21 17:59:33,2016-02-21 18:26:48,2,-73.997314453125,40.721458435058594,-73.94802856445312,40.774917602539055,N,1635
id3744273,2,2016-01-05 09:44:31,2016-01-05 10:03:32,6,-73.961669921875,40.75971984863281,-73.95677947998048,40.780628204345696,N,1141
id0232939,1,2016-02-17 06:42:23,2016-02-17 06:56:31,1,-74.01712036132812,40.70846939086913,-73.9881820678711,40.740631103515625,N,848
id1918069,2,2016-02-14 18:31:42,2016-02-14 18:55:57,2,-73.99361419677734,40.75188446044922,-73.99542236328125,40.72386169433594,N,1455
id2429028,1,2016-04-20 20:30:14,2016-04-20 20:36:51,1,-73.96508026123048,40.75891494750977,-73.976806640625,40.76410675048828,N,397
id1663798,2,2016-06-19 16:48:14,2016-06-19 17:06:35,1,-73.96389007568358,40.76543426513672,-73.87242889404298,40.77420043945313,N,1101
id2436943,2,2016-03-28 19:17:03,2016-03-28 19:48:29,2,-73.87288665771484,40.774280548095696,-73.97901916503906,40.761878967285156,N,1886
id2933909,1,2016-04-10 22:01:41,2016-04-10 22:25:30,1,-73.98782348632812,40.74098205566406,-73.99915313720702,40.68645095825195,N,1429
id2750279,1,2016-01-17 19:40:26,2016-01-17 19:49:13,1,-73.9971160888672,40.72209930419922,-74.00689697265625,40.708320617675774,N,527
id1338820,2,2016-04-22 23:33:30,2016-04-22 23:48:41,1,-74.00379180908203,40.74182891845703,-73.99333953857422,40.72188186645508,N,911
id0670329,2,2016-01-13 20:25:29,2016-01-13 20:30:40,1,-74.00482177734375,40.72858810424805,-73.99702453613281,40.72712326049805,N,311
id3131886,2,2016-06-26 13:39:30,2016-06-26 13:57:20,1,-73.98880004882812,40.75274658203125,-73.9959487915039,40.767253875732415,N,1070
id1054271,2,2016-03-17 20:35:44,2016-03-17 20:46:45,1,-73.99478912353516,40.74451065063477,-73.96574401855469,40.754070281982415,N,661
id2930166,2,2016-02-21 01:56:14,2016-02-22 01:52:18,1,-74.00287628173827,40.734130859375,-73.9553985595703,40.76750183105469,N,86164
id3867951,2,2016-04-13 22:27:11,2016-04-13 22:42:02,1,-73.97959899902342,40.760658264160156,-73.97838592529298,40.72956085205078,N,891
id1520195,2,2016-02-29 08:48:00,2016-02-29 09:13:47,1,-73.98253631591797,40.74568176269531,-74.01101684570312,40.71466445922852,N,1547
id0424659,2,2016-02-22 22:36:38,2016-02-22 22:48:35,3,-73.98348236083984,40.75540161132813,-73.94622802734375,40.78234100341797,N,717
id3128158,1,2016-04-19 21:52:54,2016-04-19 22:15:49,1,-73.94942474365234,40.71392059326172,-73.97227478027344,40.75564193725585,N,1375
id3331801,1,2016-03-20 03:37:31,2016-03-20 03:44:51,1,-74.00061798095702,40.73591613769531,-73.98303985595702,40.73879623413085,N,440
id2970074,1,2016-06-23 19:08:37,2016-06-23 19:40:54,1,-73.86325073242188,40.76974487304688,-73.98038482666014,40.75566482543945,N,1937
id1095273,2,2016-06-02 19:15:35,2016-06-02 19:47:20,6,-73.86346435546875,40.76976776123047,-73.97277069091797,40.755130767822266,N,1905
id2153065,1,2016-02-28 09:12:45,2016-02-28 09:18:10,1,-74.00525665283203,40.72033309936523,-74.0062484741211,40.73451614379883,N,325
