id,starting_street,end_street,total_distance,total_travel_time,number_of_steps,street_for_each_step,distance_per_step,travel_time_per_step,step_maneuvers,step_direction,step_location_list
id1565720,Grand Army Plaza,East 57th Street,1350.9,145.2,5,Grand Army Plaza|West 58th Street|Park Avenue|East 57th Street|East 57th Street,41.5|361.8|86.3|861.2|0,11.4|60.1|13|60.7|0,depart|turn|turn|turn|arrive,left|left|right|left|arrive,"-73.973866,40.764257|-73.974111,40.763933|-73.970363,40.762345|-73.970857,40.761665|-73.961929,40.757894"
id3488212,6th Avenue,West 16th Street,2538.0,340.2,7,6th Avenue|Greenwich Avenue|8th Avenue|West 17th Street|9th Avenue|West 16th Street|West 16th Street,384.8|691.9|291.1|277.1|75.5|817.6|0,53.4|91.6|45.8|38.3|15.7|95.4|0,depart|turn|turn|turn|turn|turn|arrive,none|left|right|left|left|left|arrive,"-74.001667,40.730611|-73.999523,40.733663|-74.002773,40.739366|-74.001129,40.741668|-74.003999,40.742883|-74.004433,40.742289|-73.995952,40.738719"
id2057463,East 23rd Street,West 23rd Street,1317.6,165.4,2,East 23rd Street|West 23rd Street,1317.6|0,165.4|0,depart|arrive,left|arrive,"-73.978684,40.736944|-73.992343,40.742707"
id2041466,East 76th Street,East 89th Street,2065.5,219.5,8,East 76th Street|3rd Avenue|East 86th Street|York Avenue|East 88th Street|East End Avenue|East 89th Street|East 89th Street,19|825|661.7|165|225.6|83.4|85.7|0,10.2|67.7|54.6|16.9|40.3|17.5|12.3|0,depart|turn|turn|turn|turn|turn|turn|arrive,left|left|right|left|right|left|left|arrive,"-73.95891,40.772422|-73.958713,40.772339|-73.953979,40.778832|-73.947122,40.775929|-73.946173,40.777227|-73.943832,40.776241|-73.943392,40.77691|-73.944288,40.777276"
id0173152,Amsterdam Avenue,Columbus Avenue,1235.6,122.9,4,Amsterdam Avenue|West 92nd Street|Columbus Avenue|Columbus Avenue,136.1|273.2|826.3|0,13.7|43.3|65.9|0,depart|turn|turn|arrive,none|right|right|arrive,"-73.97301,40.790425|-73.972228,40.791496|-73.969396,40.790298|-73.97414,40.783795"
id2351884,Lexington Avenue,7th Avenue,2259.2,227.2,4,Lexington Avenue|East 37th Street|7th Avenue|7th Avenue,560.5|1051.3|647.4|0,52.8|88|86.4|0,depart|turn|turn|arrive,none|right|left|arrive,"-73.975128,40.752705|-73.978344,40.748294|-73.989243,40.752895|-73.992953,40.747798"
id3998338,Plaza Street West,Union Street,2515.4,279.1,6,Plaza Street West|Plaza Street West|Eastern Parkway|Nostrand Avenue|Union Street|Union Street,389.6|59.1|1611.6|101.6|353.6|0,54.9|5.3|154.2|11.9|52.8|0,depart|continue|fork|turn|turn|arrive,right|slight left|slight right|right|left|arrive,"-73.971101,40.675167|-73.969651,40.672639|-73.969022,40.672873|-73.950502,40.669876|-73.950584,40.668965|-73.946408,40.668698"
id0487826,West 50th Street,3rd Avenue,1865.8,179.1,5,West 50th Street|Lexington Avenue|East 41st Street|3rd Avenue|3rd Avenue,958.1|727.2|157.6|22.9|0,76.8|71.1|30|1.2|0,depart|turn|turn|turn|arrive,right|right|left|left|arrive,"-73.982293,40.760695|-73.972362,40.756498|-73.976535,40.750775|-73.974899,40.750088|-73.974768,40.750268"
id0787818,Central Park West,East 66th Street,2860.8,247.8,6,Central Park West|65th Street Transverse|East 65th Street|Park Avenue|East 66th Street|East 66th Street,1411.5|885.6|321.4|79.6|162.7|0,130.3|60.1|32.3|12.6|12.5|0,depart|turn|new name|turn|turn|arrive,right|left|straight|left|left|arrive,"-73.97112,40.782902|-73.979193,40.771782|-73.970281,40.768025|-73.966948,40.766618|-73.966488,40.767243|-73.968178,40.767952"
id2295374,West 27th Street,West 54th Street,2708.5,339.8,4,West 27th Street|8th Avenue|West 54th Street|West 54th Street,407.4|2157|144.1|0,51.6|278.8|9.4|0,depart|end of road|turn|arrive,right|right|right|arrive,"-73.992425,40.746034|-73.996645,40.747822|-73.984269,40.764798|-73.982777,40.764165"
